date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:54:30	231611/231611	---M-Z	200	added ('OK')	text/html	etag:%22388bb-5bf0b1ea182c0-gzip%22	https://www.jthemes.net/themes/html/neoncart/home_supermarket.html	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/home_supermarket.html	(from )
23:54:30	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-604bde673af7a%22	https://www.jthemes.net/robots.txt		(from )
23:54:30	508/508	---M--	200	added ('OK')	image/png	etag:%221fc-5be42eadca140%22	https://www.jthemes.net/themes/html/neoncart/assets/images/logo/favourite_icon_01.png	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/images/logo/favourite_icon_01.png	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:31	160392/160392	---M-Z	200	added ('OK')	text/css	etag:%2227288-5bf0b752d45c0-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/bootstrap.min.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/bootstrap.min.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:31	211741/211741	---M-Z	200	added ('OK')	text/css	etag:%2233b1d-5bf0b7588d340-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/fontawesome.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/fontawesome.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:31	84769/84769	---M-Z	200	added ('OK')	text/css	etag:%2214b21-5bf0b756a4ec0-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/animate.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/animate.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:31	3976/3976	---M-Z	200	added ('OK')	text/css	etag:%22f88-5bf0b756a4ec0-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/nice-select.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/nice-select.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:32	1770/1770	---M-Z	200	added ('OK')	text/css	etag:%226ea-5bf0b753c8800-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/slick.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/slick.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:32	2912/2912	---M-Z	200	added ('OK')	text/css	etag:%22b60-5bf0b754bca40-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/slick-theme.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/slick-theme.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
23:54:32	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5bf0b753c8800-gzip%22	https://www.jthemes.net/themes/html/neoncart/assets/css/magnific-popup.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/view_web/www.jthemes.net/themes/html/neoncart/assets/css/magnific-popup.css	(from https://www.jthemes.net/themes/html/neoncart/home_supermarket.html)
